sp_id,species,superorder,order,family,genus,status,taxonomic_authority,formally_described,common_name,authority_ref_id
x001,Bubo_sp_Eivissa,Neoaves,Strigiformes,Strigidae,Bubo,EP,undescribed (Guerra et al. 2013),no,Eivissan eagle-owl,Guerra_2013
x002,Athene_cretensis,Neoaves,Strigiformes,Strigidae,Athene,EP,Weesie 1982,yes,Cretan owl,Weesie_1982
x003,Athene_angelis,Neoaves,Strigiformes,Strigidae,Athene,EP,Mourer-Chauvire et al. 1997,yes,Corsica owl,MourerChauvire_1997
x004,Bubo_insularis,Neoaves,Strigiformes,Strigidae,Bubo,EP,Mourer-Chauvire & Weesie 1986,yes,Insular eagle-owl,MourerChauvire_1986
x005,Aquila_nipaloides,Neoaves,Accipitriformes,Accipitridae,Aquila,EP,Louchart et al. 2005,yes,Tyrrhenian eagle / Steppe eagle,Louchart_2005
x006,Rallus_eivissensis,Neoaves,Gruiformes,Rallidae,Rallus,EP,Mcminn et al. 2005,yes,Ibiza rail,McMinn_2005
x007,Anser_sp_Eivissa,Galloanserae,Anseriformes,Anatidae,Anser,EP,undescribed (Florit et al. 1989),no,Eivissan duck,Florit_1989
x008,Haematopus_meadewaldoi,Neoaves,Charadriiformes,Haematopodidae,Haematopus,EX,Bannerman 1913,yes,Canary islands oystercatcher,Bannerman_1913
x009,Erithacus_sp_Canaries,Neoaves,Passeriformes,Muscicapidae,Erithacus,EP,undescribed (Illera Per. Com.),no,Canary robin,Illera Per. Com.
x010,Turdus_sp_Canaries,Neoaves,Passeriformes,Turdidae,Turdus,EP,undescribed (Illera Per. Com.),no,Canary thrush,Illera Per. Com.
x011,Coturnix_gomerae,Galloanserae,Galliformes,Phasianidae,Coturnix,EP,Jaume et al. 1993,yes,Canary islands quail,Jaume_1993
x012,Puffinus_holeae,Neoaves,Procellariiformes,Procellariidae,Puffinus,EP,Walker et al. 1990,yes,Dune shearwater,Walker_1990
x013,Puffinus_olsoni,Neoaves,Procellariiformes,Procellariidae,Puffinus,EP,McMinn & Jaume 1990,yes,Lava shearwater,McMinn_1990
x014,Pterodroma_sp_Hierro,Neoaves,Procellariiformes,Procellariidae,Pterodroma,EP,undescribed (Rando 2002),no,Canary islands petrel,Rando_2002
x015,Emberiza_alcoveri,Neoaves,Passeriformes,Emberizidae,Emberiza,EP,Rando 1999,yes,Long-legged bunting,Rando_1999
x016,Chloris_aurelioi,Neoaves,Passeriformes,Fringillidae,Chloris,EP,Rando et al. 2010,yes,Slender-billed greenfinch,Rando_2010
x017,Chloris_triasi,Neoaves,Passeriformes,Fringillidae,Chloris,EP,Alcover & Florit 1987,yes,Trias greenfinch,Alcover_1987
x018,Rallus_sp_Madeira,Neoaves,Gruiformes,Rallidae,Rallus,EP,undescribed (Alcover et al. 2015),no,Madeira undescribed rail,Alcover_2015
x019,Turdus_sp_Madeira,Neoaves,Passeriformes,Turdidae,Turdus,EP,undescribed (Illera et al. 2012),no,Madeira thrush,Illera_2012
x020,Fringillidae_sp_Madeira,Neoaves,Passeriformes,Fringillidae,Fringillidae sp.,EP,undescribed (Illera et al. 2012),no,Madeira fringilid,Illera_2012
x021,Fringilla_sp_Graciosa,Neoaves,Passeriformes,Fringillidae,Fringilla,EP,undescribed (Illera Per. Com.),no,Graciosa finch,Illera Per. Com.
x022,Turdus_sp_Graciosa,Neoaves,Passeriformes,Turdidae,Turdus,EP,undescribed (Illera Per. Com.),no,Graciosa thrush,Illera Per. Com.
x023,Otus_frutuosoi,Neoaves,Strigiformes,Strigidae,Otus,EP,Rando et al. 2013,yes,Sao Miguel scops owl,Rando_2013
x024,Otus_mauli,Neoaves,Strigiformes,Strigidae,Otus,EP,Rando et al. 2012,yes,Madeiran scops owl,Rando_2012
x025,Pyrrhula_crassa,Neoaves,Passeriformes,Fringillidae,Pyrrhula,EP,Rando et al. 2017,yes,Azores large bullfinch,Rando_2017
x026,Rallus_carvaoensis,Neoaves,Gruiformes,Rallidae,Rallus,EP,Alcover et al. 2015,yes,Sao Miguel rail,Alcover_2015
x027,Rallus_montivagorum,Neoaves,Gruiformes,Rallidae,Rallus,EP,Alcover et al. 2015,yes,Pico rail,Alcover_2015
x028,Rallus_nanus,Neoaves,Gruiformes,Rallidae,Rallus,EP,Alcover et al. 2015,yes,Sao Jorge rail,Alcover_2015
x029,Rallus_lowei,Neoaves,Gruiformes,Rallidae,Rallus,EP,Alcover et al. 2015,yes,Madeira rail,Alcover_2015
x030,Rallus_adolfocaesaris,Neoaves,Gruiformes,Rallidae,Rallus,EP,Alcover et al. 2015,yes,Porto Santo rail,Alcover_2015
x031,Rallus_sp_Graciosa,Neoaves,Gruiformes,Rallidae,Rallus,EP,undescribed (Alcover et al. 2015),no,Graciosa rail,Alcover_2015
x032,Rallus_sp_Terceira,Neoaves,Gruiformes,Rallidae,Rallus,EP,undescribed (Alcover et al. 2015),no,Terceira rail,Alcover_2015
x033,Rallus_sp_SantaMaria,Neoaves,Gruiformes,Rallidae,Rallus,EP,undescribed (Alcover et al. 2015),no,Santa Maria rail,Alcover_2015
x034,Fringilla_sp_Pico,Neoaves,Passeriformes,Fringillidae,Fringilla,EP,undescribed (Illera Per. Com.),no,Azores chaffinch,Illera Per. Com.
x035,Pterodroma_rupinarum,Neoaves,Procellariiformes,Procellariidae,Pterodroma,EX,Olson 1975,yes,Large St Helena petrel,Olson_1975a
x036,Mundia_elpenor,Neoaves,Gruiformes,Rallidae,Mundia,EX,Olson 1973,yes,Ascension crake,Olson_1973
x037,Laterallus_podarces,Neoaves,Gruiformes,Rallidae,Laterallus,EX,Wetmore 1963,yes,Saint Helena rail,Wetmore_1963
x038,Zapornia_astrictocarpus,Neoaves,Gruiformes,Rallidae,Zapornia,EX,Olson 1973,yes,Saint Helena crake,Olson_1973
x039,Nycticorax_olsoni,Neoaves,Pelecaniformes,Ardeidae,Nycticorax,EP,Bourne et al. 2003,yes,Ascension night heron,Bourne_2003
x040,Bulweria_bifax,Neoaves,Procellariiformes,Procellariidae,Bulweria,EX,Olson 1975,yes,Olson's petrel,Olson_1975a
x041,Puffinus_pacificoides,Neoaves,Procellariiformes,Procellariidae,Puffinus,EP,Olson 1975,yes,Saint Helena shearwater,Olson_1975a
x042,Dysmoropelia_dekarchiskos,Neoaves,Columbiformes,Columbidae,Dysmoropelia,EP,Olson 1975,yes,Saint Helena dove,Olson_1975a
x043,Nannococcyx_psix,Neoaves,Cuculiformes,Cuculidae,Nannococcyx,EX,Olson 1975,yes,Saint Helena cuckoo,Olson_1975a
x044,Upupa_antaios,Neoaves,Bucerotiformes,Upupidae,Upupa,EX,Olson 1975,yes,Saint Helena giant hoopoe,Olson_1975a
x045,Gallinula_nesiotis,Neoaves,Gruiformes,Rallidae,Gallinula,EX,Sclater 1861,yes,Tristan moorhen,Sclater_1861
