species,status,order,family,island_endemicity,region,archipelago,lat,long,flight_ability,flight_imputation_type,skin_imputation_type,beak_length_culmen,beak_length_nares,beak_width,beak_depth,tarsus_length,wing_length,kipps_distance,tail_length,body_mass,body_imputation_type,n_emm,n_skel,n_body
Accipiter_efficax,EP,Accipitriformes,Accipitridae,insular,Central_Indo_Pacific,New_Caledonia,-21.369993,166.149178,1,Literature,Imputed_from_skeleton,28.92,16.21,10.05,15.39,68.57,262.09,78.84,187.87,402.94,Imputed,0,5,0
Accipiter_quartus,EP,Accipitriformes,Accipitridae,insular,Central_Indo_Pacific,New_Caledonia,-21.369993,166.149178,1,Literature,Imputed_from_skeleton,23.39,13.3,8.37,12.12,53.76,209.15,62.99,149.68,211.21,Imputed,0,4,0
Accipiter_sp_Abaco,EP,Accipitriformes,Accipitridae,insular,Tropical_Atlantic,Bahamas_Turks_and_Caicos,23.358701,-75.150565,1,Imputed,Imputed_from_bodySize,19.84,11.23,7.24,10.25,46.29,176.06,54.6,127.71,130.6,Estimated_from_descriptions,0,0,1
Acrocephalus_astrolabii,EX,Passeriformes,Acrocephalidae,insular,Eastern_Indo_Pacific,Gambier_Islands,-22.430041,-135.43067,1,Literature,Measured_skin,29.5,16.46,4.83,4.81,33,100,16.56,83,33.65,Imputed,4,0,0
Acrocephalus_luscinius,EX,Passeriformes,Acrocephalidae,insular,Central_Indo_Pacific,Mariana_Islands,15.99253,145.811136,1,Literature,Measured_skin,36.3,23.44,4.8,4.94,29.95,85.65,14.96,81.95,34.61,Imputed,8,0,0
Acrocephalus_musae,EX,Passeriformes,Acrocephalidae,insular,Eastern_Indo_Pacific,Society_Islands,-17.208191,-151.278983,1,Literature,Measured_skin,37.3,21.93,5.26,5.41,32.68,103,17.59,98.33,41.99,Imputed,6,0,0
Acrocephalus_nijoi,EX,Passeriformes,Acrocephalidae,insular,Central_Indo_Pacific,Mariana_Islands,15.99253,145.811136,1,Literature,Measured_skin,28,19.8,4.7,4.3,29.4,86.3,15.51,79.7,29.3,Imputed,7,0,0
Acrocephalus_yamashinae,EX,Passeriformes,Acrocephalidae,insular,Central_Indo_Pacific,Mariana_Islands,15.99253,145.811136,1,Literature,Measured_skin,21.9,14.2,4.3,4.1,28,78,14.07,73,23.36,Imputed,7,0,0
Aegolius_gradyi,EX,Strigiformes,Strigidae,insular,Tropical_Atlantic,Bermuda,32.312663,-64.741509,0.5,Literature,Imputed_from_skeleton,18.68,11.18,7.36,11.43,24.32,133.23,39.22,71.88,116.06,Imputed,0,12,0
Aegotheles_novazelandiae,EP,Caprimulgiformes,Aegothelidae,insular,Temperate_Australasia,New_Zealand,-41.437598,174.075856,0,Literature,Imputed_from_skeleton,20.92,9.6,5.26,4.68,32.99,183.86,41.39,137.61,113.8,Literature,0,18,1
Aegypius_prepyrenaicus,EP,Accipitriformes,Accipitridae,continental,Palearctic,continental_Palearctic,57.499934,80.873219,1,Imputed,Imputed_from_bodySize,95.42,59.08,27.9,42.76,139.05,768.39,291.52,402.24,9320.6,Estimated_from_GenusMedian,0,0,1
Aepyornis_hildebrandti,EP,Aepyornithiformes,Aepyornithidae,insular,Western_Indo_Pacific,Madagascar,-18.745556,46.914274,0,Literature,Imputed_from_skeleton,126.48,45.78,37.25,40.38,329.67,609.11,16.42,282.2,283150,Literature,0,8,1
Aepyornis_maximus,EP,Aepyornithiformes,Aepyornithidae,insular,Western_Indo_Pacific,Madagascar,-18.745556,46.914274,0,Literature,Imputed_from_skeleton,162.88,59.32,47.4,52.16,423.12,764.02,18.98,359.08,634133.33,Literature,0,6,1
Aerodramus_manuoi,EP,Caprimulgiformes,Apodidae,insular,Eastern_Indo_Pacific,Cook_Islands,-20.219417,-158.905882,1,Literature,Imputed_from_skeleton,6.77,2.72,2.36,2.01,9.63,112.21,78.66,50.86,13.03,Imputed,0,2,0
Aidemedia_chascax,EP,Passeriformes,Fringillidae,insular,Eastern_Indo_Pacific,Hawaiian_Islands,22.453145,-161.146893,1,Imputed,Imputed_from_skeleton,19.73,13.37,6.77,8.41,22.21,91.31,21.58,64.24,32.14,Imputed,0,1,0
Aidemedia_lutetiae,EP,Passeriformes,Fringillidae,insular,Eastern_Indo_Pacific,Hawaiian_Islands,22.453145,-161.146893,1,Imputed,Imputed_from_skeleton,18.83,12.79,6.6,8.19,21.6,88.57,21.17,62.35,30.09,Imputed,0,2,0
Aidemedia_zanclops,EP,Passeriformes,Fringillidae,insular,Eastern_Indo_Pacific,Hawaiian_Islands,22.453145,-161.146893,1,Imputed,Imputed_from_skeleton,18.71,12.63,6.54,8.1,21.44,87.88,21,61.84,29.52,Imputed,0,1,0
Aiolornis_incredibilis,EP,Cathartiformes,Teratornithidae,continental,Nearctic,continental_Nearctic,49.060652,-103.045295,1,Literature,Imputed_from_bodySize,111.73,64.61,26.43,34.64,129.66,720.18,200.57,480.97,23000,Literature,0,0,1
Akialoa_ellisiana,EX,Passeriformes,Fringillidae,insular,Eastern_Indo_Pacific,Hawaiian_Islands,22.453145,-161.146893,1,Literature,Measured_skin,59.39,47.24,4.32,5.08,22.91,82.07,21.91,48.75,29.5,Literature,8,0,1
Akialoa_lanaiensis,EX,Passeriformes,Fringillidae,insular,Eastern_Indo_Pacific,Hawaiian_Islands,22.453145,-161.146893,1,Literature,Measured_skin,39.03,31.43,4.7,5.88,21.2,79.25,20.1,44.4,27.5,Literature,3,0,1
Akialoa_obscura,EX,Passeriformes,Fringillidae,insular,Eastern_Indo_Pacific,Hawaiian_Islands,22.453145,-161.146893,1,Literature,Measured_skin,43.93,37.3,4.01,4.99,25.52,78.64,18.2,40,25.31,Imputed,8,0,0
Akialoa_stejnegeri,EX,Passeriformes,Fringillidae,insular,Eastern_Indo_Pacific,Hawaiian_Islands,22.453145,-161.146893,1,Literature,Measured_skin,59.82,52.77,4.2,5.51,27.32,92.5,25.14,51,35.01,Imputed,8,0,0
