species,genus,family,order,superorder,status,flight_ability,beak_length_culmen,beak_length_nares,beak_width,beak_depth,tarsus_length,wing_length,kipps_distance,tail_length,body_mass,reference_id
Accipiter_albogularis,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,27.7,17.8,10.6,14.7,62,235.2,81.8,169,248.8,Avonet
Accipiter_badius,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,20.6,12.1,8.8,11.6,43,186.7,62.5,140.6,131.2,Avonet
Accipiter_bicolor,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,25,13.7,8.6,12.7,58.1,229.6,56.6,186.3,287.5,Avonet
Accipiter_brachyurus,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,22.5,14,8.9,11.9,61.2,202.2,64.1,140.8,142,Avonet
Accipiter_brevipes,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,21.1,12.1,8.7,11.1,46.4,217.6,87.8,153.5,186.5,Avonet
Accipiter_butleri,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,20,11.9,6.6,12,48.7,166,42.9,127,122,Avonet
Accipiter_castanilius,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,20.5,11.5,8.3,10.9,52.6,163.5,38.9,135.4,157.5,Avonet
Accipiter_cirrocephalus,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,19.2,10.6,7.7,9.6,60.3,213,81.3,155.4,165.7,Avonet
Accipiter_collaris,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,20,11.2,8.6,11,43.6,165.9,49.5,125,97.8,Avonet
Accipiter_cooperii,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,25.4,13.9,8.6,13.2,62,241.2,77.8,188.4,429.7,Avonet
Accipiter_erythrauchen,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,21.1,12.2,8.6,11.2,59.5,191.2,58.9,154.8,156,Avonet
Accipiter_erythropus,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,17.6,9.7,7.2,9.6,43,154.6,40.9,104.4,111.2,Avonet
Accipiter_fasciatus,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,28.5,19.1,11.2,15.2,71.9,269.9,103.6,206,358.7,Avonet
Accipiter_francesiae,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,20.2,13.1,8.7,10.7,48.1,155.8,43.2,127.5,136.8,Avonet
Accipiter_gentilis,Accipiter,Accipitridae,Accipitriformes,Neoaves,Extant,1,33.7,19.6,11.6,18,67.3,337.6,122.6,241.1,866,Avonet
