species,collection_id,specimen_id,sex,beak_length_culmen,beak_length_nares,beak_width,beak_depth,tarsus_length,wing_length,kipps_distance,tail_length,measurer_id
Cabalus_modestus,AIM,AIM-LB8538,M,34.3,26.1,3.2,5,33,87,NA,37,CT
Cabalus_modestus,AIM,AIM-LB4145,F,30.2,NA,3.3,4.7,27,85,23,30,CT
Coenocorypha_barrierensis,AIM,AIM-LB10066,U,51.2,44.6,4.2,7.5,21.3,103,NA,32,CT
Coturnix_novaezelandiae,AIM,AIM-LB4106,U,11.2,6.7,5.4,5.5,25.5,105,23,35,CT
Heteralocha_acutirostris,AIM,AIM-LB4577,M,44.5,38.9,9.3,14.1,75.9,210,22,180,CT
Heteralocha_acutirostris,AIM,AIM-LB4570,F,99.7,89.3,7.6,10,77.4,180,19,173,CT
Heteralocha_acutirostris,AIM,AIM-LB4571,M,53,40.3,9.6,14,78,200,22,180,CT
Heteralocha_acutirostris,AIM,AIM-LB4568,F,100.7,86,9.5,13,74.2,190,14,178,CT
Heteralocha_acutirostris,AIM,AIM-LB4565,M,64,53,7.9,12.2,73,185,14,199,CT
Heteralocha_acutirostris,AIM,AIM-LB4566,F,106,90,8.3,11.8,82,189,18,180,CT
Chloridops_kona,AMNH,AMNH-453675,F,22.4,14.9,11.6,18,21.4,83.4,22.2,52.8,BCW
Chloridops_kona,AMNH,AMNH-453681,M,23,15.7,11.8,17.8,NA,87.9,24.5,55,BCW
Chloridops_kona,AMNH,AMNH-453682,M,22.4,15.2,11.7,18.4,22.6,85,21.1,53.3,BCW
Chloridops_kona,AMNH,AMNH-453684,F,21.7,15.1,11.6,18,21.7,85,22,54.2,BCW
Ciridops_anna,AMNH,AMNH-230275,U,14.1,7.7,4.2,4.7,19,72.8,17.4,42.5,BCW
Coenocorypha_iredalei,AMNH,AMNH-740424,M,58.9,49.3,5.8,8.2,23.6,108.5,36.1,38.4,BCW
Coenocorypha_iredalei,AMNH,AMNH-740425,F,51.5,42,4.6,7.2,21.2,94.6,32.1,35.6,BCW
Coenocorypha_iredalei,AMNH,AMNH-740426,U,56.1,44.9,4.8,7.1,22.7,NA,NA,37.3,BCW
Columba_jouyi,AMNH,AMNH-1527,F,36.9,16.1,6.2,5.9,39.1,250.1,89.2,156.9,BCW
Columba_jouyi,AMNH,AMNH-612455,F,32.5,16.6,7.6,6.6,35.7,238.3,85.2,149.8,BCW
Columba_jouyi,AMNH,AMNH-612457,M,35.3,17.4,6.7,7.8,36.9,269,92.5,173.6,BCW
Columba_jouyi,AMNH,AMNH-612459,M,35.6,17.6,6.6,6.4,37,244.7,90.8,149.5,BCW
Drepanis_funerea,AMNH,AMNH-193398,M,NA,NA,5.5,7.7,31.3,105,25.6,72.1,BCW
Drepanis_funerea,AMNH,AMNH-458996,U,49.9,39,4.9,7.8,30,102.5,26.2,68.3,BCW
Drepanis_pacifica,AMNH,AMNH-458997,M,NA,NA,4.9,7,28.9,105.4,30.1,NA,BCW
Hemignathus_lucidus,AMNH,AMNH-453529,M,28.2,23.8,4.6,4.7,21.8,70.5,13.1,51,CS
Hemignathus_lucidus,AMNH,AMNH-453521,M,30.9,24.4,3.9,5.6,23.1,78,15.2,48,CS
Hemignathus_lucidus,AMNH,AMNH-453523,F,27.2,20.8,3.7,5,21.2,76,14,46,CS
Hemignathus_lucidus,AMNH,AMNH-453536,F,25.6,19,3.1,4.3,19.7,67.5,11.4,45,CS
Microgoura_meeki,AMNH,AMNH-616456,M,34.6,12.3,4.5,7.3,60.1,196.2,49.5,87.1,BCW
Myadestes_myadestinus,AMNH,AMNH-193340,M,18.1,9.1,5.6,5.1,31.3,101,18.8,86,CS
Pomarea_fluxa,AMNH,AMNH-195907,M,17.2,10.4,4.4,4.2,25.7,79.3,16,70.4,BCW
Pomarea_fluxa,AMNH,AMNH-195934,M,17.7,9.9,4.4,4.3,24,81.6,16.8,72.5,BCW
Pomarea_fluxa,AMNH,AMNH-195949,F,16.9,9.9,4.4,4.5,24.2,80.9,16.1,73.9,BCW
Pomarea_fluxa,AMNH,AMNH-195961,F,16.2,9.1,4,4.1,25.5,81.1,16.2,74.5,BCW
Pomarea_nukuhivae,AMNH,AMNH-195972,M,20.1,12,4.9,4.6,26.7,93.3,18.8,73.1,BCW
Pomarea_nukuhivae,AMNH,AMNH-195975,M,19.8,11.6,4.8,4.8,26.4,91.3,18.3,72.4,BCW
Pomarea_nukuhivae,AMNH,AMNH-195990,F,19.5,11.4,4.5,4.6,26.7,92.2,19.2,75.6,BCW
Pomarea_nukuhivae,AMNH,AMNH-195993,F,17.9,10.1,4,4.7,27.2,93,20.5,75.1,BCW
Prosobonia_cancellata,AMNH,AMNH-192223,F,21.1,12.5,3.3,3.7,24.4,112.4,36.1,NA,BCW
Prosobonia_cancellata,AMNH,AMNH-192259,M,20.4,12.5,2.4,3.2,23.5,101.1,31.2,NA,BCW
Prosobonia_cancellata,AMNH,AMNH-198806,M,19,12.4,3.5,3.3,24.6,106,34.1,58.3,BCW
