species,sex,beak_length_culmen,beak_length_nares,beak_width,beak_depth,tarsus_length,wing_length,kipps_distance,tail_length,reference_id
Alexandrinus_exsul,m,NA,NA,NA,NA,22,206,NA,198,Rothschild_1907
Alexandrinus_exsul,f,NA,NA,NA,NA,22,210,NA,191,Rothschild_1907
Loxops_wolstenholmei,m,11.6,NA,4.3,3.6,19.8,73.6,NA,46.9,BOW
Loxops_wolstenholmei,f,11.3,NA,4.2,3.6,19.1,60.2,NA,43.7,BOW
Akialoa_ellisiana,m,NA,NA,NA,NA,21.8,86,NA,48.5,BOW
Akialoa_ellisiana,f,NA,NA,NA,NA,NA,77.2,NA,NA,BOW
Akialoa_lanaiensis,m,NA,NA,NA,NA,NA,81,NA,45.8,BOW
Akialoa_lanaiensis,f,NA,NA,NA,NA,21.2,77.5,NA,43,BOW
Chaetoptila_angustipluma,m,NA,NA,7.9,6.6,39.3,122,NA,182,Sykes_2000
Chaetoptila_angustipluma,f,NA,NA,7.1,5.7,34.9,105,NA,129,Sykes_2000
Dysmorodrepanis_munroi,u,NA,NA,NA,NA,21.4,86.3,NA,52,James_1989
Viridonia_sagittirostris,m,NA,NA,NA,NA,22.4,67.4,NA,42.8,BOW
Viridonia_sagittirostris,f,NA,NA,NA,NA,22,64.5,NA,41.2,BOW
Ixobrychus_novaezelandiae,u,NA,NA,11.33,10.67,49,148.33,NA,NA,ODonnell_1988
Riccordia_elegans,m,NA,18.8,NA,NA,NA,52.5,NA,NA,Weller_1999
Prosobonia_leucoptera,u,20,NA,NA,NA,29,112,NA,54,Zusi_1970
Pyrocephalus_dubius,m,9.65,NA,NA,NA,16.51,56.64,NA,48.26,Gould_1839
Acrocephalus_astrolabii,u,29.5,NA,NA,NA,33,100,NA,83,Holyoak_1978
Zoothera_terrestris,u,25,NA,NA,NA,25,NA,NA,56,Kittlitz_1831
Acrocephalus_musae,u,37.54,21.67,5.36,NA,32,101,NA,92,Cibois_2008
Acrocephalus_musae,u,36.83,21.71,5.29,NA,33.17,103,NA,103,Cibois_2008
Acrocephalus_musae,u,37.53,22.4,5.13,NA,32.87,105,NA,100,Cibois_2008
Acrocephalus_yamashinae,u,21.9,14.2,4.3,4.1,28,78,NA,73,Saitoh_2012
Acrocephalus_nijoi,u,28,19.8,4.7,4.3,29.4,86.3,NA,79.7,Saitoh_2012
Acrocephalus_luscinius,u,37.1,25,4.7,5,29.8,85.6,NA,85.9,Saitoh_2012
Aplonis_ulietensis,u,31.75,NA,NA,NA,NA,NA,NA,NA,Greenway_1967
Podiceps_andinus,u,27,NA,NA,NA,42.5,125.3,NA,NA,Fjeldsa_1993
Pinguinus_impennis,u,84.7,NA,NA,39.3,59.6,160,NA,73,Livezey_1988
Poodytes_rufescens,u,NA,NA,NA,NA,NA,63,NA,NA,Buller_1869
Zapornia_sandwichensis,u,19.05,NA,NA,NA,27.94,68.58,NA,13.97,Walther_2016
Mascarinus_mascarin,u,34,NA,NA,NA,23,211,NA,148,Fuller_2001
Genyornis_newtoni,u,NA,NA,NA,NA,NA,235,NA,NA,Stirling_1896 [Wing length infered from total wing length in skeleton]
Caloenas_maculata,u,20,NA,NA,NA,33,225,NA,126,Grouw_2014
Cichlocolaptes_mazarbarnetti,f,NA,NA,5,6.8,22.9,96.5,NA,82,Barnett_2014
Riccordia_bracei,u,17.3,NA,NA,NA,NA,44.7,NA,NA,Graves_1987
Pampusana_salamonis,m,25.4,12.7,NA,NA,33.02,165.1,NA,101.4,Ramsay_1882
Gerygone_insularis,m,15.24,7.62,NA,NA,20.32,55.88,NA,50.8,Ramsay_1878
