species,collection_id,specimen_id,sex,hum_tl,hum_pw,hum_dw,uln_tl,uln_pw,uln_dw,cmc_tl,cmc_pw,cmc_dw,fem_tl,fem_pw,fem_dw,tbt_tl,tbt_pw,tbt_dw,tmt_tl,tmt_pw,tmt_dw,ubeak_cl,ubeak_ns,ubeak_wd,ubeak_dp,measurer_id
Mergus_australis,NHMUK,NHM-1904.8.4.4,f,68.83,15.64,11.02,54.99,7.5,7.82,38.28,9.35,6.74,43.28,11.48,11.64,80.66,9.16,8.97,41.07,9.48,9.83,63.21,37.27,7.56,3.6,FS
Mergus_australis,NHMUK,NHM-1904.8.4.3,m,72.09,16.62,11.72,57.69,7.87,8.58,40.52,9.65,7.81,45.58,12.48,12.97,NA,NA,NA,NA,NA,NA,65.25,40.21,8.5,4.32,FS
Prosobonia_cancellata,NHMUK,NHM-1926.7.23.1,u,27.4,5.6,4.22,27.73,3.21,3.15,15.17,3.93,2.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.16,4.76,1.28,0.86,FS
Haematopus_meadewaldoi,NHMUK,NHM-1850.11.14.18,u,86.63,21.15,15.08,93.86,10.51,9.65,49.32,14.74,8.37,57.81,12.84,12.58,93.97,10.71,9.64,59.23,11.16,11.54,68.88,27.38,4.98,5.97,FS
Pinguinus_impennis,NHMUK,NHM-1939.12.9.538,u,107.85,26.23,15.97,56.88,10.21,11.88,45.43,12.53,8.71,77.03,15.48,14.57,126.99,10.96,12.96,54.02,14.21,14.41,100.48,52.46,10.72,32.41,FS
Ectopistes_migratorius,MNHN,MNHN-ZO-AC-1880-224,u,NA,NA,9.59,45.62,7.64,6.43,29.01,8.64,5.97,37.2,7.15,6.29,51.93,5.31,5.65,26.9,6.43,6.26,23.86,12.08,4.2,2.41,FS
Pezophaps_solitaria,NHMUK,NHM-A.1373,u,95.34,26.15,17.69,NA,NA,NA,38.73,13.95,8.33,140.6,36.11,33.97,210,28.32,26.54,138.13,29.62,31.26,79.53,26.8,11.07,15.48,FS
Pezophaps_solitaria,NHMUK,NHM-A.3506,f,94.18,27.27,18.52,73.02,13.19,10.32,46.09,15.63,8.41,146.22,40.64,37.46,213,30.16,26.23,138.98,29.63,32.03,80.31,38.21,12.65,17.24,FS
Raphus_cucullatus,NHMUK,NHM-A.729,u,107.31,31.33,22.53,81.46,14.45,13.07,NA,NA,NA,155,NA,41.72,216,34.53,32.79,123,33.77,34.38,140.61,71.65,18.67,36.43,FS
Pezophaps_solitaria,NHMUK,NHM-A.3505,m,124.6,35.48,23.65,94.82,16.88,12.95,49.33,18.88,16.87,180,56.59,46.43,265,38.58,31.4,178,36.42,37.73,87.49,40.86,16.68,36.4,FS
Dinornis_novaezealandiae,NHMUK,NHM-18597,u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,82,98.5,NA,NA,NA,NA,FS
