species,hum_tl,hum_pw,hum_dw,uln_tl,uln_pw,uln_dw,cmc_tl,cmc_pw,cmc_dw,fem_tl,fem_pw,fem_dw,tbt_tl,tbt_pw,tbt_dw,tmt_tl,tmt_pw,tmt_dw,ubeak_cl,ubeak_ns,ubeak_wd,ubeak_dp,reference_id
Accipiter_efficax,NA,NA,NA,99.03,NA,NA,51.43,NA,NA,NA,NA,NA,NA,NA,NA,78,6.7,14.2,NA,NA,NA,NA,Balouet_1989
Accipiter_quartus,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.8,7.4,7.9,NA,NA,6.75,NA,NA,NA,NA,NA,NA,NA,Balouet_1989
Aegolius_gradyi,43.65,8,7.8,47,NA,NA,21.25,NA,NA,35.8,6.65,6.4,NA,NA,5.83,23.43,5.6,6.1,NA,NA,NA,NA,Olson_2012b
Aegotheles_novazelandiae,32.135,7.76,6.345,35.35,4.8,3.3,19.2,6,3.8,28.16,5.395,5.545,61.25,5.215,4.85,43.4,5.16,5.12,NA,NA,NA,NA,Rich_1977
Aepyornis_hildebrandti,NA,NA,NA,NA,NA,NA,NA,NA,NA,327,NA,114.75,473,93.92,90.1,317,85.45,106.95,NA,NA,NA,NA,Hansford_2018
Aepyornis_maximus,NA,NA,NA,NA,NA,NA,NA,NA,NA,416,NA,176.5,NA,NA,145.5,410.5,161.95,148.65,NA,NA,NA,NA,Hansford_2018
Aerodramus_manuoi,NA,NA,NA,NA,NA,NA,13.44,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Steadman_2002a
Aerodramus_manuoi,NA,NA,NA,NA,NA,NA,13.44,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Steadman_2002a
Aidemedia_chascax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,James_1991
Aidemedia_lutetiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.77,16.07,NA,NA,James_1991
Aidemedia_zanclops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.26,NA,NA,NA,James_1991 [ubeak_cl infered using length of mandibula in proportion to A.chascax]
Alectroenas_nitidissimus,53.8,13.7,11.6,64.2,8.9,6.7,35.6,9.5,3.9,45.8,8.8,8.5,54,6.1,6.2,32.4,8.4,8.1,NA,NA,NA,NA,Hume_2011
Alectroenas_payandeei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.1,7.5,7.6,NA,NA,NA,NA,Hume_2011
Alopochen_kervazoi,126,25.7,19.2,119,13.1,12.3,72.35,7.7,9.05,69,18.8,16.9,NA,NA,NA,80.5,14.8,16,45.1,NA,NA,NA,MourerChauvire_1999
Alopochen_mauritiana,NA,NA,NA,NA,NA,NA,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Newton_1893a
Alopochen_sirabensis,139.5,NA,NA,135,NA,NA,76,NA,NA,NA,NA,NA,91,NA,NA,77,NA,NA,NA,NA,NA,NA,Andrews_1897
Amplibuteo_hibbardi,195,39.3,35.9,NA,25.5,NA,110.8,12,NA,127.4,27.4,29,NA,23,22.7,134.3,23.7,27.1,NA,NA,NA,NA,Campbell_1979
Amplibuteo_woodwardi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.6,23,26.1,NA,NA,NA,NA,Suarez_2007
Amplibuteo_woodwardi,NA,NA,NA,NA,NA,NA,115.3,10.8,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Emslie_1995
Amplibuteo_woodwardi,207,40,35.8,NA,24.3,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Emslie_1999
Anabernicula_gracilenta,95.45,NA,NA,NA,NA,NA,58.25,NA,NA,NA,NA,NA,NA,NA,NA,59.25,NA,NA,NA,NA,NA,NA,Howard_1964a
Anabernicula_oregonensis,93.9,NA,NA,NA,NA,NA,62.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Howard_1964a
Anas_amotape,63.1,13.5,9.8,56,7.6,NA,39.1,4.3,NA,NA,7,NA,NA,NA,6.5,35.6,7.3,7.2,NA,NA,NA,NA,Campbell_1979
Anas_chathamica,88.5,NA,NA,65.6,NA,NA,46.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Worthy_2002b
Anas_marecula,42,NA,NA,35.2,NA,NA,23.5,NA,NA,33.2,NA,NA,57.5,NA,NA,29.5,NA,NA,NA,NA,NA,NA,Olson_1996
Anas_sanctahelenae,57.7,12.7,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,29.5,6.6,6.2,NA,NA,NA,NA,Campbell_1979
Anas_schneideri,NA,NA,NA,NA,NA,NA,29.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Emslie_1985
Anas_talarae,56.4,12.7,9.2,53.3,6.8,NA,NA,4,NA,NA,NA,NA,NA,NA,6.3,30.8,6.6,6.3,NA,NA,NA,NA,Campbell_1979
Anas_theodori,71.9,15.87,11.37,63,7.5,6,NA,NA,NA,NA,NA,NA,71,8.5,8,42,9.2,9.2,NA,NA,NA,NA,MourerChauvire_1999
Anatidae_sp_Oahu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.58,NA,NA,NA,NA,NA,James_1991 [tmt_pw infered from proportion of Pterygoid length compared to C.calcitrans in Worthy_1997]
Anatidae_sp_Rodrigues,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hume_2013
Anhinga_beckeri,NA,18.3,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Emslie_1998
Anomalopteryx_didiformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,221.79,NA,NA,382.56,NA,NA,174.64,NA,NA,NA,NA,NA,NA,Cracraft_1976
Anser_djuktaiensis,NA,NA,NA,46.2,45.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zelenkov_2014
Antigone_cubensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.7,27.3,NA,33.3,34,NA,NA,NA,NA,Suarez_2020b
Aphanapteryx_bonasia,61.2,12,9.7,45.3,6.4,NA,30.1,8.2,NA,73.2,15.6,11.2,111.5,14.2,12.9,74.4,13.5,14.6,NA,38.2,5.8,5.7,Hume_2019
Aphanapteryx_bonasia,63,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,106.5,NA,NA,79,NA,NA,NA,NA,NA,NA,Newton_1893a
Aplonis_diluvialis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,5.3,4.2,NA,NA,NA,NA,Steadman_1989a
Aplonis_mavornata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4,NA,NA,NA,NA,NA,NA,Olson_1986
Apteribis_brevis,62.5,15.1,11.5,48.6,8.5,NA,24.6,NA,NA,62.7,14.3,13.9,94,NA,11.2,53,13.2,13.6,NA,NA,NA,NA,James_1991
Apteribis_glenos,65.5,NA,NA,NA,NA,NA,NA,NA,NA,63.65,NA,NA,99.7,NA,NA,55.4,13.1,13.7,NA,NA,NA,NA,Olson_1976a
Apteribis_sp_Lanai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.63,NA,NA,NA,Dove_2011
