species,body_mass,reference_id
Aegotheles_novazelandiae,113.8,Rich_1977
Aepyornis_hildebrandti,283150,Hansford_2018
Aepyornis_maximus,850000,Grealy_2023
Aepyornis_maximus,409500,Hansford_2018
Aepyornis_maximus,642900,Hansford_2018
Aiolornis_incredibilis,23000,Campbell_1999
Akialoa_ellisiana,29.5,BOW
Akialoa_lanaiensis,27.5,BOW
Anas_chathamica,1360,Williams_2015
Anomalopteryx_didiformis,49000,Worthy_2012
Apteribis_brevis,1248,Iwaniuk_2004
Aptornis_defossor,18000,Weber_1995
Aptornis_otidiformis,16000,Boast_2019
Asphaltoglaux_cecileae,78.2,Campbell_2013
Branta_hylobadistes,3544.3,Iwaniuk_2004
Branta_rhuax,8600,Paxinos_2002
Capellirallus_karamu,240,Tennyson_2006
Caracara_major,3862,Jones_2013
Caracara_sp_Argentina,4575,Jones_2015
Caracara_tellustris,3700,Jones_2013
Chaetoptila_angustipluma,97,BOW
Chenonetta_finschi,800,NZBO
Cichlocolaptes_mazarbarnetti,48,BOW
Circus_teauteensis,2750,Holdaway_1997
Coenocorypha_barrierensis,105,Heather_2005
Coenocorypha_iredalei,105,Heather_2005
Dendroscansor_decurvirostris,30,NZBO
Diaphorapteryx_hawkinsi,2000,Cooper_2004
Dinornis_novaezealandiae,150000,Worthy_2002a
Dinornis_robustus,238000,Worthy_2012
Dromaius_minor,21500,Pfennigwerth_2010
Emeus_crassus,109600,Worthy_2012
Euryapteryx_curtus,40200,Worthy_2012
Fulica_chathamensis,1750,Holdaway_1989
Glaucidium_kurochkini,71.4,Campbell_2013
Haematopus_meadewaldoi,700,BOW
Hieraaetus_moorei,12750,Brathwaite_1992
Hypotaenidia_dieffenbachii,274.6,Iwaniuk_2004
Hypotaenidia_wakensis,99.2,Iwaniuk_2004
Leptoptilos_robustus,16000,Campbell_1992
Loxops_wolstenholmei,11,BOW
Malacorhynchus_scarletti,800,Olson_1977a
Megalapteryx_didinus,21400,Worthy_2012
Megapodius_molistructor,3500,Balouet_1989
Melamprosops_phaeosoma,25.5,BOW
Mergus_australis,900,Heather_2015
Mullerornis_modestus,107700,Hansford_2018
Ninox_albifacies,600,Wood_2014
Ornimegalonyx_oteroi,8300,Burness_2001
Otus_frutuosoi,144,Rando_2013
Otus_mauli,152,Rando_2013
Pachyornis_australis,116100,Worthy_2012
Pachyornis_elephantopus,217900,Worthy_2012
Pachyornis_geranoides,36500,Worthy_2012
Pachyplichas_yaldwyni,50,NZBO
Philydor_novaesi,34,BOW
Ptaiochen_pau,5237.6,Iwaniuk_2004
Puffinus_olsoni,210,Ramirez_2010
Puffinus_spelaeus,250,NZBO
Pyrrhula_crassa,46.4,Rando_2017
Raphus_cucullatus,12450,Angst_2011
Struthio_anderssoni,258000,Buffetaut_2023
Sylviornis_neocaledoniae,40000,Steadman_1999a
Teratornis_merriami,15000,Miller_1909
Thambetochen_chauliodous,6225.5,Iwaniuk_2004
Thambetochen_xanion,8425.1,Iwaniuk_2004
Titanohierax_gloveralleni,7300,Burness_2001
Tribonyx_hodgenorum,280,Holdaway_1989
Viridonia_sagittirostris,13.35,BOW
Xenicus_longipes,16,BOW
Zapornia_palmeri,46.3,Iwaniuk_2004
Zenaida_graysoni,190,Schmechel_2006
